hotel,hotel_type,arrival_date,lead_time,market_segment,distribution_channel,customer_type,deposit_type,country,agent,adr,estimated_revenue,is_canceled,cancel_risk_score,predicted_cancel
Resort Hotel - Kolkata,Resort Hotel,2024-11-08,8,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,193.0,772.0,0,0.28253673456532336,0
Resort Hotel - Kochi,Resort Hotel,2024-11-21,43,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,134.0,91.5,457.5,1,0.7778393373024783,1
Resort Hotel - Pune,Resort Hotel,2024-12-07,5,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,146.0,584.0,0,0.12023645001503246,0
Resort Hotel - Delhi,Resort Hotel,2024-11-29,17,Online TA,TA/TO,Transient,No Deposit,PRT,242.0,123.0,123.0,0,0.764246477929958,1
Resort Hotel - Mumbai,Resort Hotel,2024-11-15,12,Direct,Direct,Transient,No Deposit,PRT,0.0,146.0,292.0,0,0.0030082460769034107,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-16,77,Direct,Direct,Transient,No Deposit,PRT,250.0,97.0,291.0,1,0.6344994424701751,1
Resort Hotel - Chennai,Resort Hotel,2024-11-09,103,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,65.42,261.68,1,0.9447165270670492,1
Resort Hotel - Bangalore,Resort Hotel,2024-11-06,14,Online TA,TA/TO,Transient,No Deposit,SWE,241.0,75.46,377.3,0,0.0010009007709445201,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-22,90,Offline TA/TO,TA/TO,Transient,No Deposit,FRA,6.0,90.95,636.64996,0,0.0035479739242231254,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-24,366,Offline TA/TO,TA/TO,Contract,No Deposit,GBR,40.0,134.73,943.11,0,0.026201768408771677,0
Resort Hotel - Jaipur,Resort Hotel,2024-11-18,13,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,185.0,370.0,0,0.0023014131401140297,0
Resort Hotel - Goa,Resort Hotel,2024-11-21,79,Online TA,TA/TO,Transient,No Deposit,POL,240.0,82.0,410.0,0,0.16275220300343668,0
Resort Hotel - Lucknow,Resort Hotel,2024-12-19,21,Direct,Direct,Transient,No Deposit,PRT,250.0,165.0,825.0,0,0.0016699749146600804,0
Resort Hotel - Pune,Resort Hotel,2024-11-22,34,Online TA,TA/TO,Transient,No Deposit,GBR,241.0,108.83,761.81,0,0.005101403771977931,0
Resort Hotel - Delhi,Resort Hotel,2024-12-07,117,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,15.0,144.4,866.39996,0,0.5704203305314521,1
Resort Hotel - Bhopal,Resort Hotel,2024-11-14,109,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,73.8,516.60004,1,0.9442404389034097,1
Resort Hotel - Kochi,Resort Hotel,2024-11-13,36,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,5.0,104.68,732.76,0,0.0132206463762968,0
Resort Hotel - Hyderabad,Resort Hotel,2024-12-12,58,Direct,Direct,Transient,No Deposit,PRT,250.0,164.57,1151.99,1,0.6786081974853033,1
Resort Hotel - Chennai,Resort Hotel,2024-11-09,90,Offline TA/TO,TA/TO,Transient-Party,No Deposit,PRT,5.0,117.22,820.54004,0,0.00729929203381382,0
Resort Hotel - Indore,Resort Hotel,2024-11-28,31,Offline TA/TO,TA/TO,Transient,No Deposit,GBR,243.0,123.0,861.0,0,0.001804827283340025,0
Resort Hotel - Bangalore,Resort Hotel,2024-12-13,34,Online TA,TA/TO,Transient,No Deposit,BEL,240.0,120.2,240.4,0,0.38082356629644487,0
Resort Hotel - Delhi,Resort Hotel,2024-12-18,79,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,100.86,706.02,1,0.8824593455577241,1
Resort Hotel - Bangalore,Resort Hotel,2024-11-03,109,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,73.8,147.6,0,0.10394162588200495,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-28,0,Online TA,TA/TO,Transient,No Deposit,AUS,240.0,117.9,235.8,0,0.001527792212534362,0
Resort Hotel - Pune,Resort Hotel,2024-12-06,0,Direct,Direct,Transient,No Deposit,PRT,0.0,150.0,300.0,0,0.11596941995142467,0
Resort Hotel - Mumbai,Resort Hotel,2024-11-08,51,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,130.0,390.0,0,0.008950426089066122,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-25,0,Corporate,Corporate,Transient,No Deposit,PRT,167.0,114.0,456.0,0,0.3653504012041877,0
Resort Hotel - Pune,Resort Hotel,2024-11-26,40,Direct,Direct,Transient,No Deposit,ESP,250.0,120.0,600.0,0,0.08844323428899456,0
Resort Hotel - Mumbai,Resort Hotel,2024-11-26,101,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,107.2,536.0,0,0.9065139054159201,1
Resort Hotel - Indore,Resort Hotel,2024-12-05,40,Direct,Direct,Transient,No Deposit,ESP,250.0,120.0,600.0,0,0.1197994931783002,0
Resort Hotel - Lucknow,Resort Hotel,2024-11-19,98,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,130.5,783.0,1,0.9148343941970981,1
Resort Hotel - Goa,Resort Hotel,2024-11-14,16,Online TA,TA/TO,Transient,No Deposit,ROU,240.0,100.2,100.2,0,0.0011732789783782255,0
Resort Hotel - Chennai,Resort Hotel,2024-11-05,1,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,8.0,8.0,0,0.2219327874088654,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-11,6,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,180.0,1260.0,0,0.002498996258366907,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-10,37,Online TA,TA/TO,Transient,No Deposit,POL,241.0,106.9,641.4,0,0.015923476325092986,0
Resort Hotel - Goa,Resort Hotel,2024-12-24,57,Groups,Direct,Transient-Party,No Deposit,PRT,305.0,107.0,214.0,0,0.5033075880364943,1
Resort Hotel - Pune,Resort Hotel,2024-11-16,57,Groups,Direct,Transient,No Deposit,PRT,305.0,107.0,214.0,0,0.23901326157761854,0
Resort Hotel - Delhi,Resort Hotel,2024-11-05,57,Groups,Direct,Transient-Party,No Deposit,PRT,305.0,0.0,0.0,1,0.5448507515022472,1
Resort Hotel - Goa,Resort Hotel,2024-12-23,57,Groups,Direct,Transient,No Deposit,PRT,305.0,107.0,214.0,0,0.035036756639043466,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-01,50,Online TA,TA/TO,Transient,No Deposit,FIN,241.0,123.2,123.2,0,0.0247099858834809,0
Resort Hotel - Lucknow,Resort Hotel,2024-12-19,19,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,121.33,363.99,0,0.04010338405361138,0
Resort Hotel - Bhopal,Resort Hotel,2024-12-02,10,Direct,Direct,Transient-Party,No Deposit,IRL,250.0,150.2,751.0,0,0.014982285130320397,0
Resort Hotel - Chennai,Resort Hotel,2024-12-10,17,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,164.0,328.0,0,0.06997708887527608,0
Resort Hotel - Kochi,Resort Hotel,2024-12-01,1,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,144.5,289.0,0,0.1319557884815917,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-23,2,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,196.0,112.0,224.0,0,0.2507092758446786,0
Resort Hotel - Goa,Resort Hotel,2024-11-07,91,Online TA,TA/TO,Transient,No Deposit,BWA,240.0,118.5,355.5,0,0.1635156205279643,0
Resort Hotel - Lucknow,Resort Hotel,2024-11-13,13,Online TA,TA/TO,Transient,No Deposit,DEU,240.0,126.3,378.90002,0,0.21784221716874883,0
Resort Hotel - Delhi,Resort Hotel,2024-12-29,8,Online TA,TA/TO,Transient,No Deposit,GBR,240.0,126.3,378.90002,0,0.028702113450972292,0
Resort Hotel - Indore,Resort Hotel,2024-12-22,26,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,132.6,530.4,0,0.0023100371102524075,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-26,123,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,157.0,628.0,1,0.6614357344365943,1
Resort Hotel - Jaipur,Resort Hotel,2024-11-16,3,Direct,Direct,Transient,No Deposit,CN,0.0,95.0,285.0,0,0.021217558003931054,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-29,4,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,154.5,309.0,0,0.002729307158061977,0
Resort Hotel - Mumbai,Resort Hotel,2024-12-26,38,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,5.0,110.53,663.18,1,0.5840462296199406,1
Resort Hotel - Chennai,Resort Hotel,2024-12-17,104,Offline TA/TO,TA/TO,Contract,No Deposit,GBR,115.0,123.0,861.0,0,0.0019840578262340014,0
Resort Hotel - Kolkata,Resort Hotel,2024-12-26,117,Online TA,TA/TO,Transient,No Deposit,RUS,240.0,117.84,824.88,0,0.30289929220829465,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-15,32,Offline TA/TO,TA/TO,Transient,No Deposit,IRL,156.0,123.0,861.0,0,0.003322011343959587,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-08,118,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,179.1,537.30005,1,0.7172960994134094,1
Resort Hotel - Hyderabad,Resort Hotel,2024-12-25,46,Online TA,TA/TO,Transient,No Deposit,NOR,241.0,111.65,446.6,0,0.046939474352260514,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-06,89,Offline TA/TO,TA/TO,Transient,No Deposit,GBR,241.0,121.01,847.07,0,0.004557851736530092,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-05,65,Online TA,TA/TO,Transient,No Deposit,GBR,105.0,167.5,1172.5,0,0.4331320858923751,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-03,42,Offline TA/TO,TA/TO,Transient,No Deposit,ESP,175.0,148.34,1038.38,0,0.0062739012247247875,0
Resort Hotel - Mumbai,Resort Hotel,2024-12-17,62,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,167.0,1169.0,0,0.44758737795369763,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-07,28,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,15.0,192.5,1347.5,0,0.6445422939029443,1
Resort Hotel - Mumbai,Resort Hotel,2024-12-15,8,Direct,Direct,Transient,No Deposit,PRT,250.0,207.0,1035.0,0,0.004020377555858349,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-04,0,Direct,Direct,Transient,No Deposit,ESP,0.0,153.0,153.0,0,0.0018038773871710233,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-16,44,Online TA,TA/TO,Transient,No Deposit,FRA,242.0,167.69,670.76,0,0.032227586115848646,0
Resort Hotel - Pune,Resort Hotel,2024-12-24,44,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,195.0,780.0,1,0.8639574657324118,1
Resort Hotel - Delhi,Resort Hotel,2024-11-10,19,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,173.0,692.0,1,0.8693256813095475,1
Resort Hotel - Chandigarh,Resort Hotel,2024-12-09,36,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,268.0,0,0.1375711430892918,0
Resort Hotel - Indore,Resort Hotel,2024-12-13,8,Online TA,TA/TO,Transient-Party,No Deposit,BRA,240.0,173.0,346.0,0,0.011793748178737986,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-13,45,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,127.0,381.0,1,0.9102270190915149,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-04,25,Direct,Direct,Transient,No Deposit,PRT,250.0,115.0,805.0,0,0.2012501860069671,0
Resort Hotel - Lucknow,Resort Hotel,2024-12-19,43,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,175.0,159.2,1114.4,1,0.4379606255397696,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-26,47,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,261.0,133.0,399.0,0,0.22064453867752587,0
Resort Hotel - Pune,Resort Hotel,2024-11-25,12,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,153.0,306.0,0,0.025013660157649532,0
Resort Hotel - Pune,Resort Hotel,2024-11-21,51,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,142.0,118.0,354.0,0,0.7367413885540472,1
Resort Hotel - Bangalore,Resort Hotel,2024-11-01,67,Online TA,TA/TO,Transient,No Deposit,GBR,240.0,134.0,536.0,0,0.12237947302620111,0
Resort Hotel - Lucknow,Resort Hotel,2024-11-18,52,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,196.0,135.0,675.0,0,0.4080563057699321,0
Resort Hotel - Bangalore,Resort Hotel,2024-11-21,54,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,670.0,1,0.8683155680926228,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-19,43,Direct,Direct,Transient,No Deposit,IRL,250.0,134.0,804.0,0,0.0991204249417054,0
Resort Hotel - Jaipur,Resort Hotel,2024-11-10,96,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,166.0,1162.0,1,0.8180624058291861,1
Resort Hotel - Bangalore,Resort Hotel,2024-12-14,299,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,149.0,1043.0,1,0.9332974670102389,1
Resort Hotel - Bangalore,Resort Hotel,2024-11-15,30,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,536.0,0,0.08299437672377938,0
Resort Hotel - Kochi,Resort Hotel,2024-12-04,31,Direct,Direct,Transient,No Deposit,ESP,250.0,145.0,580.0,0,0.06060747919146444,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-30,35,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,196.0,149.0,596.0,0,0.5324235958730792,1
Resort Hotel - Chennai,Resort Hotel,2024-11-23,298,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,175.0,183.45,1100.7,1,0.8272619329065904,1
Resort Hotel - Kolkata,Resort Hotel,2024-11-07,40,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,120.6,723.6,0,0.8931984951047848,1
Resort Hotel - Lucknow,Resort Hotel,2024-11-24,76,Online TA,TA/TO,Transient,No Deposit,GBR,241.0,102.72,719.04004,0,0.006500244543642522,0
Resort Hotel - Kochi,Resort Hotel,2024-12-20,68,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,135.0,270.0,0,0.002360959002353858,0
Resort Hotel - Hyderabad,Resort Hotel,2024-12-08,63,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,195.0,585.0,1,0.9439602615658187,1
Resort Hotel - Pune,Resort Hotel,2024-11-23,49,Online TA,TA/TO,Transient,No Deposit,NOR,241.0,103.18,619.08,0,0.002067245892467384,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-17,37,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,196.0,133.0,665.0,1,0.033256584537787626,0
Resort Hotel - Lucknow,Resort Hotel,2024-11-04,37,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,196.0,133.0,665.0,1,0.06651002534907983,0
Resort Hotel - Kolkata,Resort Hotel,2024-12-18,0,Corporate,Corporate,Transient,No Deposit,PRT,0.0,114.0,114.0,1,0.23882590601325857,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-20,8,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,153.0,153.0,1,0.0745557328777405,0
Resort Hotel - Kolkata,Resort Hotel,2024-11-06,62,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,154.5,618.0,1,0.909936125223521,1
Resort Hotel - Indore,Resort Hotel,2024-11-11,62,Direct,Direct,Transient,No Deposit,PRT,250.0,126.71,886.97,1,0.6385367897362996,1
Resort Hotel - Hyderabad,Resort Hotel,2024-12-22,46,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,0.0,0.0,0,0.0016211388147561838,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-15,4,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,154.8,309.6,1,0.08700620494161312,0
Resort Hotel - Mumbai,Resort Hotel,2024-11-03,4,Online TA,TA/TO,Transient-Party,No Deposit,PRT,240.0,192.0,384.0,0,0.07169918682256587,0
Resort Hotel - Bangalore,Resort Hotel,2024-12-28,129,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,67.0,96.3,192.6,0,0.7247017775395632,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-22,77,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,194.14,1358.98,1,0.9258641533888542,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-25,25,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,144.0,144.0,1,0.6682776641973501,1
Resort Hotel - Indore,Resort Hotel,2024-11-11,0,Online TA,TA/TO,Transient,No Deposit,PRT,241.0,144.76,144.76,0,0.37791857302124465,0
Resort Hotel - Indore,Resort Hotel,2024-12-15,47,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,205.0,410.0,1,0.9201440764984038,1
Resort Hotel - Chandigarh,Resort Hotel,2024-11-16,460,Offline TA/TO,TA/TO,Contract,No Deposit,GBR,40.0,77.54,542.78,0,0.01048075171714941,0
Resort Hotel - Lucknow,Resort Hotel,2024-11-04,82,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,120.6,844.2,1,0.9316643899085398,1
Resort Hotel - Chandigarh,Resort Hotel,2024-11-14,13,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,211.0,1266.0,1,0.5785814982594264,1
Resort Hotel - Jaipur,Resort Hotel,2024-12-13,140,Offline TA/TO,TA/TO,Transient-Party,No Deposit,PRT,6.0,90.95,636.64996,0,0.2693155624622968,0
Resort Hotel - Chennai,Resort Hotel,2024-11-24,114,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,149.4,448.19998,1,0.9276498538630973,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-24,57,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,183.0,915.0,1,0.9216661991333984,1
Resort Hotel - Bhopal,Resort Hotel,2024-12-03,129,Direct,Direct,Transient-Party,No Deposit,PRT,0.0,126.0,378.0,0,0.09981690171533128,0
Resort Hotel - Chennai,Resort Hotel,2024-11-24,4,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,0.0,0.0,0,0.016693265043353996,0
Resort Hotel - Bangalore,Resort Hotel,2024-11-19,98,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,536.0,0,0.06915254655992345,0
Resort Hotel - Hyderabad,Resort Hotel,2024-11-15,46,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,153.0,612.0,1,0.8927180142628582,1
Resort Hotel - Chandigarh,Resort Hotel,2024-12-02,113,Offline TA/TO,TA/TO,Transient-Party,No Deposit,PRT,105.0,154.38,1080.66,1,0.286380245969775,0
Resort Hotel - Delhi,Resort Hotel,2024-12-28,137,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,108.54,434.16,1,0.8440074273882974,1
Resort Hotel - Bhopal,Resort Hotel,2024-12-18,65,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,145.4,727.0,1,0.8940401420749013,1
Resort Hotel - Chennai,Resort Hotel,2024-12-18,81,Offline TA/TO,TA/TO,Transient,No Deposit,GBR,243.0,130.0,910.0,0,0.0027890100304824995,0
Resort Hotel - Mumbai,Resort Hotel,2024-12-28,87,Direct,Direct,Transient,No Deposit,PRT,250.0,134.0,268.0,1,0.3619588577053817,0
Resort Hotel - Delhi,Resort Hotel,2024-12-07,117,Offline TA/TO,TA/TO,Transient-Party,No Deposit,PRT,242.0,186.0,930.0,1,0.23742270264765694,0
Resort Hotel - Mumbai,Resort Hotel,2024-11-11,68,Online TA,TA/TO,Transient,No Deposit,RUS,240.0,156.73,1097.11,0,0.9043970162122308,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-25,69,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,156.73,1097.11,1,0.94286900732859,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-26,9,Corporate,Corporate,Transient,No Deposit,PRT,110.0,184.45,184.45,1,0.9077761139137255,1
Resort Hotel - Delhi,Resort Hotel,2024-12-07,150,Offline TA/TO,TA/TO,Transient,No Deposit,NLD,71.0,96.3,674.10004,0,0.001902943494449156,0
Resort Hotel - Pune,Resort Hotel,2024-12-15,68,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,146.0,157.0,628.0,0,0.34835759179824494,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-11-24,11,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,158.4,792.0,1,0.4871973837403083,0
Resort Hotel - Hyderabad,Resort Hotel,2024-12-10,80,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,6.0,133.0,665.0,1,0.3464765589345033,0
Resort Hotel - Indore,Resort Hotel,2024-11-24,77,Offline TA/TO,TA/TO,Transient-Party,No Deposit,PRT,96.0,135.0,675.0,0,0.16219450999113058,0
Resort Hotel - Delhi,Resort Hotel,2024-12-12,37,Groups,Corporate,Transient-Party,No Deposit,PRT,0.0,172.0,172.0,0,0.26497982814138643,0
Resort Hotel - Indore,Resort Hotel,2024-12-01,143,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,108.54,217.08,1,0.755555826309294,1
Resort Hotel - Goa,Resort Hotel,2024-12-06,66,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,154.0,1078.0,1,0.8334361933258282,1
Resort Hotel - Lucknow,Resort Hotel,2024-11-04,132,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,670.0,1,0.7515024367438069,1
Resort Hotel - Goa,Resort Hotel,2024-11-12,98,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,149.4,597.6,1,0.6646523699058959,1
Resort Hotel - Lucknow,Resort Hotel,2024-12-22,96,Online TA,TA/TO,Transient-Party,No Deposit,PRT,240.0,134.0,804.0,0,0.12700946370133476,0
Resort Hotel - Bangalore,Resort Hotel,2024-12-28,80,Offline TA/TO,TA/TO,Transient,No Deposit,GBR,26.0,131.1,917.7001,0,0.006216568260625186,0
Resort Hotel - Jaipur,Resort Hotel,2024-12-10,110,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,134.0,938.0,1,0.7826563108897002,1
Resort Hotel - Indore,Resort Hotel,2024-11-10,108,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,149.0,133.0,931.0,1,0.6911803064316921,1
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-10,79,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,134.0,133.0,931.0,0,0.4582458970673855,0
